ìfẹ́kúfẹ̀ẹ́	28
ẹwà	28
lati	28
gíríkì	28
fá	28
fèrèsé	28
jébúsì	27
bojú	27
ásà	27
lóru	27
jùdíà	27
ìparí	27
gbòǹgbò	27
ìṣù	27
sọnù	27
àárẹ̀	27
àṣà	27
ìtànná	27
kóríra	27
kọsẹ̀	27
lọ́pọ̀lọpọ̀	27
àna	27
júdásì	27
hámátì	27
ọ̀wọ́n	27
lẹ́bi	27
ọmú	27
jíǹde	27
titun	27
támárì	27
nǹkankan	27
àìlera	27
wúwo	27
adágún	27
tókù	27
kórà	27
áṣíríà	27
gbààwẹ̀	27
ojúrere	27
dáadáa	27
ṣárà	27
lẹ́jọ́	27
po	27
jéhóíádà	26
ẹnìkejì	26
bàtà	26
eérú	26
ìwẹ̀nùmọ́	26
ọmọ-ènìyàn	26
ìtẹ́wọ́gbà	26
èyíkéyìí	26
fifún	26
dó	26
ìsun	26
igba	26
ìrunú	26
tò	26
mímọ̀	26
jéhóíákímù	26
sẹ̀	26
ṣíméhì	26
wòó	26
èdìdì	26
orísun	26
ẹlẹ́sẹ̀	26
bẹ́tẹ́lì	26
náfítalì	26
inúnibíni	26
ìrìn	26
fetísílẹ̀	26
kíyèsára	26
dáwọ́	26
olóye	25
òbí	25
nísinsinyìí	25
bétélì	25
kéékèèkéé	25
ẹnìkankan	25
fọn	25
tani	25
ṣẹ́yìn	25
ọ̀ṣọ́	25
mẹ́ẹ̀dọ́gbọ̀n	25
báà	25
jósúà	25
arọ	25
bánábà	25
ábíátarì	25
ìtẹ̀bọmi	25
agbádá	25
ìtùnú	25
àsírí	25
eyín	25
kéjì	25
kíkan	25
nebukadinéṣárì	25
túntún	25
àtẹ̀gùn	25
gbó	25
bẹ̀bẹ̀	25
òṣùpá	25
jọjọ	24
àṣeyọrí	24
agbọ̀n	24
bárúkì	24
ibikíbi	24
ìgbéyàwó	24
nílẹ̀	24
láre	24
awọn	24
fèsì	24
fojú	24
pète	24
ibú	24
ire	24
paláṣẹ	24
han	24
òfo	24
ọ̀lẹ	24
élíásérì	24
ọpọ́n	24
áṣà	24
ṣọ́ra	24
mó	24
àṣálẹ́	24
àgbérè	24
àṣọtẹ́lẹ̀	24
ṣèlérí	24
bénáyà	24
ámúnónì	24
ìdààmú	24
tálákà	24
ìgò	24
dẹ́kun	24
palẹ̀	24
ṣíríà	24
òpópónà	24
sími	24
kán	23
ábíṣáì	23
lẹ̀yìn	23
ṣọ̀kalẹ̀	23
ìpakà	23
básánì	23
ìwádìí	23
dààmú	23
ìdúró	23
aṣẹ́wó	23
mẹ́tẹ̀ẹ̀ta	23
àdóníjà	23
jẹ̀bi	23
